,Activity
BR:MCF7,4.57
BR:MDA-MB-231,4.87
BR:HS 578T,4.04
BR:BT-549,4.29
BR:T-47D,4.52
CNS:SF-268,4.17
CNS:SF-295,4.28
CNS:SF-539,4.38
CNS:SNB-19,4.06
CNS:SNB-75,NA
CNS:U251,4.26
CO:COLO 205,8
CO:HCC-2998,4.54
CO:HCT-116,4.69
CO:HCT-15,NA
CO:HT29,8
CO:KM12,4.56
CO:SW-620,4.52
LE:CCRF-CEM,4.56
LE:HL-60(TB),5.09
LE:K-562,4.45
LE:MOLT-4,4.32
LE:RPMI-8226,4.59
LE:SR,NA
ME:LOX IMVI,7.03
ME:MALME-3M,8
ME:M14,8
ME:SK-MEL-2,NA
ME:SK-MEL-28,8
ME:SK-MEL-5,7.89
ME:UACC-257,8
ME:UACC-62,8
ME:MDA-MB-435,8
ME:MDA-N,NA
LC:A549/ATCC,4.53
LC:EKVX,NA
LC:HOP-62,4.22
LC:HOP-92,NA
LC:NCI-H226,4.49
LC:NCI-H23,4.58
LC:NCI-H322M,4.27
LC:NCI-H460,4.49
LC:NCI-H522,4.84
OV:IGROV1,4.25
OV:OVCAR-3,4.38
OV:OVCAR-4,4.2
OV:OVCAR-5,NA
OV:OVCAR-8,4.21
OV:SK-OV-3,NA
OV:NCI/ADR-RES,4.21
PR:PC-3,4.4
PR:DU-145,4.23
RE:786-0,4.2
RE:A498,NA
RE:ACHN,6.68
RE:CAKI-1,NA
RE:RXF 393,NA
RE:SN12C,NA
RE:TK-10,NA
RE:UO-31,NA
