,ME0,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,ME9,ME10,ME11,ME12,ME13,ME14,ME15
BR.MCF7,-0.169653222,0.045666882,0.022995523,-0.009066966,-0.085592622,-0.158402887,-0.051621438,-0.178998905,0.208724682,-0.050406063,0.05206864,-0.222937311,0.12072604,0.084659373,0.117372107,0.167388572
BR.MDA.MB.231,0.411754287,-0.565679714,0.403848172,-0.340995947,0.170025181,0.061505203,0.017333305,0.113119416,-0.11398033,-0.083741742,-0.248249809,0.104179917,-0.412689978,0.281958168,-0.160623238,-0.228517723
BR.HS.578T,0.020003477,-0.016894894,-0.166373718,0.099613988,0.066392988,0.137251785,0.026801073,0.215739023,-0.145961828,-0.05328505,-0.097566531,0.178014134,0.203491782,-0.214654463,0.140080595,0.079346978
BR.BT.549,-0.083490638,0.065148523,-0.080463088,0.063655888,0.010191424,0.078830958,0.013643282,0.1455043,-0.099599934,-0.065931697,-0.14512554,0.043318341,0.288121048,-0.24762264,0.206176641,-0.076555041
BR.T.47D,-0.113062644,0.005671594,0.042552248,0.002612674,-0.053960809,-0.086596654,0.002890634,-0.129509455,0.230921806,-0.026588561,-0.013093152,-0.175270414,-0.039150972,0.007308522,0.05690473,0.012363751
CNS.SF.268,-0.049989935,-0.056029527,-0.083296144,0.004346389,0.030243184,0.084706117,-0.008333356,0.186017778,-0.148782665,-0.08159854,-0.046778473,0.114361974,-0.053352737,-0.061505478,-0.037809976,0.310529145
CNS.SF.295,0.049645227,0.017661427,-0.018570695,0.051978607,0.037056506,0.087461575,0.016911524,0.125229774,-0.141212752,-0.003170537,-0.043407148,0.13447215,0.0669724,-0.097298785,0.06540576,-0.050971246
CNS.SF.539,0.123996559,0.043454252,-0.041777647,0.141446486,0.081246354,0.144594171,0.062666707,0.193786231,-0.154540336,-0.002766519,0.110015092,0.179276278,-0.004450169,0.005097882,-0.140057363,-0.074634621
CNS.SNB.19,0.010902365,0.02480338,-0.068091532,0.086546343,0.043124778,0.08786149,-0.016320004,0.076384117,-0.08076232,0.038871904,-0.194728908,0.072017128,0.22207904,-0.373098065,0.137157722,-0.271814723
CNS.SNB.75,0.063285111,0.048374811,-0.024133658,0.112071132,0.049482495,0.132188756,-0.025710997,0.142195804,-0.139101258,0.072416807,0.013036903,0.156720675,0.034680011,-0.035471801,0.014967313,-0.019056093
CNS.U251,0.124747261,0.000284572,0.075250616,0.050522975,0.069971903,0.090177896,0.052831103,0.116228962,-0.075832311,0.004251103,0.031349928,0.103175279,0.012843848,0.070318176,-0.059737576,-0.082975113
CO.COLO.205,0.022321779,-0.018940583,-0.089913587,-0.117434837,-0.042500612,-0.313171219,0.039705077,-0.226589492,0.271051141,-0.101251501,-0.031743626,-0.164471349,-0.050391488,-0.081527103,0.043003906,0.20649688
CO.HCC.2998,0.035680893,0.084432594,0.042768653,0.020353389,0.019299766,-0.20751749,0.056275744,-0.19481245,0.254006803,-0.063553291,0.086043414,-0.17694297,0.039137307,0.091793375,-0.047119929,-0.022580024
CO.HCT.116,0.024797279,-0.068350334,0.187995314,-0.051291737,0.041948174,-0.048743191,0.028502547,-0.056549116,0.12931357,-0.028546341,-0.005928582,-0.092592777,-0.044393682,0.114366925,0.05923091,-0.03400312
CO.HCT.15,0.012646017,0.137274121,0.038332809,0.065703998,0.027174494,-0.161410921,0.061432641,-0.148603357,0.248496882,-0.033422842,0.163375232,-0.171303439,0.045049634,0.160882825,-0.03182587,-0.009779086
CO.HT29,-0.020156643,0.039915207,0.019468141,-0.042889236,0.018339275,-0.266861327,0.104072379,-0.182447447,0.269963758,-0.115836285,-0.010691192,-0.212332348,-0.002358691,0.085382288,0.11798526,0.12896928
CO.KM12,0.070440482,-0.030859634,0.096811943,-0.088113696,0.042925149,-0.253888162,0.041195506,-0.172991503,0.249366235,-0.053719135,-0.075145289,-0.126440455,0.067457168,0.008152381,0.15197128,0.089065367
CO.SW.620,0.3801746,-0.64144865,0.504504418,-0.480726493,0.078271587,-0.15561506,-0.116910188,-0.109352854,0.043358103,-0.090311125,-0.440362597,0.005109933,-0.438388718,0.241252186,-0.23798916,-0.191328284
LE.CCRF.CEM,0.008791957,0.063486445,0.291450026,-0.28777975,-0.400229261,-0.206353445,-0.242790374,-0.150162932,-0.143197273,-0.123268429,-0.037605441,-0.140346601,0.014781098,0.059700614,0.051349512,-0.105974113
LE.HL.60.TB.,-0.00848263,-0.148500196,0.154601511,-0.369566179,-0.370910632,-0.262306397,-0.22858889,-0.150051971,-0.102365929,-0.145867504,-0.143502203,-0.112463036,-0.098371005,0.041907266,0.188056555,0.072090088
LE.K.562,-0.078983365,0.047376389,0.094618531,-0.178991252,-0.310768553,-0.253133141,-0.21350098,-0.1878951,-0.058043063,-0.139237342,0.236642251,-0.034282623,-0.185004974,0.166745712,-0.168799143,0.132968818
LE.MOLT.4,-0.10284382,-0.001199008,0.119592113,-0.280140595,-0.350327142,-0.173027038,-0.201507198,-0.113664125,-0.118722857,-0.121494606,-0.069687451,-0.145735286,0.039083415,0.04796947,0.217599902,0.197670374
LE.RPMI.8226,-0.231485433,-0.025341123,-0.12448514,-0.199136216,-0.326163127,-0.22189884,-0.171522699,-0.117546509,0.018722192,-0.073125269,-0.231732117,-0.131050436,0.056280613,-0.290390579,0.23276851,-0.145091794
LE.SR,-0.263639129,0.078801657,-0.188636804,-0.194262103,-0.38569813,-0.280057417,-0.195571941,-0.17935675,-0.016402174,-0.116040794,0.014093469,-0.194468766,-0.068755578,-0.094352548,0.071380186,0.234430436
ME.LOX.IMVI,0.101647088,-0.031439054,0.022786411,0.008287772,0.048576658,0.078953872,-0.044047538,0.050299557,-0.198488938,-0.037837115,0.047995365,0.185122998,-0.02516393,0.036458811,-0.021973879,0.0946753
ME.MALME.3M,0.130499106,0.037998781,0.009767429,0.087982924,0.067502165,0.132080262,-0.167065268,-0.116363414,-0.113653114,0.340474124,0.08923431,0.158586925,-0.056920869,0.059223806,-0.154580794,-0.101795369
ME.M14,-0.07478398,0.098091133,-0.189307807,0.082203164,-0.011442298,0.074685673,-0.187279403,-0.10168397,-0.100217497,0.278702758,-0.036300595,0.167799731,0.202865665,-0.160261152,0.140732128,0.034541334
ME.SK.MEL.2,0.058721021,0.101787212,-0.092625478,0.082395845,0.05349499,0.096895774,-0.132560666,-0.080000812,-0.114798017,0.257715101,0.165050598,0.171615319,0.036341052,0.034255141,-0.072333343,-0.073546644
ME.SK.MEL.28,0.063810531,0.097017366,-0.111589594,0.077418197,0.036059054,0.109505686,-0.229789907,-0.143107751,-0.129055607,0.342087793,0.049802802,0.217509301,0.115965151,-0.017703381,0.051485048,0.022441785
ME.SK.MEL.5,-0.101760839,0.089006014,-0.225021579,0.05663998,-0.033550816,0.036563072,-0.193008608,-0.13496055,-0.080984378,0.289101216,-0.040780962,0.117592441,0.237222372,-0.18191994,0.082658204,-0.116185517
ME.UACC.257,0.023601541,0.076139466,0.007128143,0.022470626,-0.015498005,0.069199965,-0.239381099,-0.161095925,-0.136533289,0.294690664,0.062779815,0.170920064,-0.03777419,-0.01565666,-0.063750827,-0.021617334
ME.UACC.62,0.049471159,0.069439015,-0.037239643,0.062545373,0.036585009,0.088385069,-0.171669357,-0.06643871,-0.136026506,0.260397469,0.059126979,0.202349755,-6.74E-05,-0.042802473,-0.069402225,-0.061836841
ME.MDA.MB.435,0.039044699,0.122346801,-0.066255701,0.062289085,0.037591795,0.086781836,-0.203157216,-0.142117362,-0.15225721,0.294396258,0.125654013,0.234487919,0.045228573,0.02882228,-0.070395655,-0.010327213
ME.MDA.N,-0.010671144,-0.056996299,-0.106046585,-0.031258683,-0.006472898,0.041611336,-0.18329004,-0.091522532,-0.120545385,0.258577788,-0.216651524,0.210200675,0.154384611,-0.226635597,0.158006474,-0.059599326
