"","Gene.name.d","Entrez.gene.id.e","Chromosome.f","Start.f","End.f","Cytoband.f"
"1","CH17-408M7.1",102724558,"1",-1,-1,"1q21.1"
"2","DDX11L1",100287102,"1",11873,14409,"1p36.33"
"3","WASH7P",653635,"1",14361,29370,"1p36.33"
"4","FAM138A",645520,"1",34610,36081,"1p36.33"
"5","OR4F5",79501,"1",69090,70008,"1p36.33"
"6","HYDIN2",100288805,"1",132568,407510,"1q21.1"
"7","LOC729737",729737,"1",134772,140566,"1p36.33"
"8","LOC100132062",100132062,"1",323891,328581,"5q35.3"
"9","OR4F29",729759,"1",367658,368597,"1p36.33"
"10","LOC101928626",101928626,"1",562759,564389,"1p36.33"
"11","OR4F16",81399,"1",621095,622034,"1p36.33"
"12","LOC100133331",100133331,"1",661138,665731,"1p36.33"
"13","LOC100288069",100288069,"1",700244,714068,"1p36.33"
"14","FAM87B",400728,"1",752750,755214,"1p36.33"
"15","LINC00115",79854,"1",761585,762902,"1p36.33"
"16","LINC01128",643837,"1",762970,794826,"1p36.33"
"17","FAM41C",284593,"1",803450,812182,"1p36.33"
"18","LOC100130417",100130417,"1",852197,855072,"1p36.33"
"19","SAMD11",148398,"1",861120,879961,"1p36.33"
"20","NOC2L",26155,"1",879582,894679,"1p36.33"
"21","KLHL17",339451,"1",895966,901099,"1p36.33"
"22","PLEKHN1",84069,"1",901876,910484,"1p36.33"
"23","PERM1",84808,"1",910578,917497,"1p36.33"
"24","HES4",57801,"1",934341,935552,"1p36.33"
"25","ISG15",9636,"1",948846,949919,"1p36.33"
"26","AGRN",375790,"1",955502,991499,"1p36.33"
"27","RNF223",401934,"1",1007125,1009687,"1p36.33"
"28","C1orf159",54991,"1",1017197,1051736,"1p36.33"
"29","LINC01342",254099,"1",1072396,1079434,"1p36.33"
"30","TTLL10",254173,"1",1109285,1133313,"1p36.33"
"31","TNFRSF18",8784,"1",1138887,1142089,"1p36.3"
"32","TNFRSF4",7293,"1",1146705,1149548,"1p36"
"33","SDF4",51150,"1",1152287,1167447,"1p36.33"
"34","B3GALT6",126792,"1",1167628,1170420,"1p36.33"
"35","FAM132A",388581,"1",1177825,1182102,"1p36.33"
"36","UBE2J2",118424,"1",1189291,1209234,"1p36.33"
"37","SCNN1D",6339,"1",1215815,1227409,"1p36.3-p36.2"
"38","ACAP3",116983,"1",1227763,1243269,"-"
"39","PUSL1",126789,"1",1243993,1247057,"1p36.33"
"40","CPSF3L",54973,"1",1246964,1260067,"1p36.33"
"41","CPTP",80772,"1",1260142,1264276,"1p36.33"
"42","TAS1R3",83756,"1",1266725,1269844,"1p36.33"
"43","DVL1",1855,"1",1270657,1284492,"1p36"
"44","MXRA8",54587,"1",1288068,1298921,"1p36.33"
"45","AURKAIP1",54998,"1",1309109,1310818,"1p36.33"
"46","CCNL2",81669,"1",1321090,1334718,"1p36.33"
"47","LOC148413",148413,"1",1334909,1337426,"1p36.33"
"48","MRPL20",55052,"1",1337275,1342693,"1p36.3-p36.2"
"49","ANKRD65",441869,"1",1353799,1356824,"1p36.33"
"50","TMEM88B",643965,"1",1361507,1363167,"1p36.33"
"51","LOC102724312",102724312,"1",1365536,1369953,"1p36.33"
"52","VWA1",64856,"1",1370902,1378262,"1p36.33"
"53","ATAD3C",219293,"1",1385068,1405538,"1p36.33"
"54","ATAD3B",83858,"1",1407163,1431582,"1p36.33"
"55","ATAD3A",55210,"1",1447522,1470067,"1p36.33"
"56","TMEM240",339453,"1",1470157,1475740,"1p36.33"
"57","SSU72",29101,"1",1477052,1510262,"1p36.33"
"58","C1orf233",643988,"1",1533387,1535476,"1p36.33"
"59","MIB2",142678,"1",1550794,1565990,"1p36.33"
"60","MMP23B",8510,"1",1567559,1570030,"1p36.3"
"61","CDK11B",984,"1",1570602,1655859,"1p36.33"
"62","SLC35E2B",728661,"1",1592938,1624243,"1p36.33"
"63","MMP23A",8511,"1",1631377,1633247,"1p36.33"
"64","CDK11A",728642,"1",1634169,1655791,"1p36.33"
"65","SLC35E2",9906,"1",1656276,1677438,"1p36.33"
"66","NADK",65220,"1",1682670,1711508,"1p36.33"
"67","GNB1",2782,"1",1716723,1822556,"1p36.33"
"68","CALML6",163688,"1",1846265,1848733,"1p36.33"
"69","TMEM52",339456,"1",1849028,1850740,"1p36.33"
"70","CFAP74",85452,"1",1853389,1935276,"1p36.33"
"71","GABRD",2563,"1",1950767,1962192,"1p36.3"
"72","PRKCZ",5590,"1",1981908,2116834,"1p36.33-p36.2"
"73","FAAP20",199990,"1",2115898,2144159,"1p36.33"
"74","SKI",6497,"1",2160133,2241652,"1p36.33"
"75","MORN1",79906,"1",2252691,2323190,"1p36.33-p36.32"
"76","LOC100129534",100129534,"1",2281852,2284100,"1p36.33"
"77","RER1",11079,"1",2323213,2336885,"1p36"
"78","PEX10",5192,"1",2336240,2344010,"1p36.32"
"79","PLCH2",9651,"1",2398897,2436969,"1p36.32"
"80","PANK4",55229,"1",2439969,2458067,"1p36.32"
"81","HES5",388585,"1",2460183,2461684,"1p36.32"
"82","LOC115110",115110,"1",2481358,2488450,"1p36.32"
"83","TNFRSF14",8764,"1",2487803,2497061,"1p36.32"
"84","LOC100996583",100996583,"1",2497973,2515973,"-"
"85","FAM213B",127281,"1",2517898,2522908,"1p36.32"
"86","MMEL1",79258,"1",2522080,2564481,"1p36"
"87","TTC34",100287898,"1",2572806,2706230,"1p36.32"
"88","ACTRT2",140625,"1",2938045,2939467,"1p36.32"
"89","LINC00982",440556,"1",2976180,2984289,"1p36.32"
"90","PRDM16",63976,"1",2985741,3355185,"1p36.23-p33"
"91","ARHGEF16",27237,"1",3371146,3397677,"1p36.3"
"92","MEGF6",1953,"1",3404505,3528059,"1p36.3"
"93","TPRG1L",127262,"1",3541555,3546694,"1p36.32"
"94","WRAP73",49856,"1",3547330,3566671,"1p36.3"
"95","TP73",7161,"1",3569128,3652765,"1p36.3"
"96","TP73-AS1",57212,"1",3652547,3663937,"1p36.32"
"97","CCDC27",148870,"1",3668964,3688209,"1p36.32"
"98","SMIM1",388588,"1",3689324,3692546,"1p36.32"
"99","LRRC47",57470,"1",3696783,3713068,"1p36.32"
"100","CEP104",9731,"1",3728644,3773797,"1p36.32"
"101","DFFB",1677,"1",3773830,3801993,"1p36.3"
"102","C1orf174",339448,"1",3805696,3816857,"1p36.32"
"103","LINC01134",100133612,"1",3816967,3832011,"1p36.32"
"104","LINC01346",728716,"1",4000671,4012643,"1p36.32"
"105","LOC284661",284661,"1",4472110,4484744,"1p36.32"
"106","AJAP1",55966,"1",4715104,4843851,"1p36.32"
"107","NPHP4",261734,"1",5922867,6052533,"1p36"
"108","KCNAB2",8514,"1",6052357,6161253,"1p36.3"
"109","CHD5",26038,"1",6161846,6240194,"1p36.31"
"110","RPL22",6146,"1",6245079,6259679,"1p36.31"
"111","LOC102724450",102724450,"1",6264899,6265840,"1p36.31"
"112","RNF207",388591,"1",6266188,6281359,"1p36.31"
"113","ICMT",23463,"1",6281252,6296044,"1p36.21"
"114","LINC00337",148645,"1",6296299,6299502,"1p36.31"
"115","HES3",390992,"1",6304251,6305638,"1p36.31"
"116","GPR153",387509,"1",6307405,6321035,"1p36.31"
"117","ACOT7",11332,"1",6324331,6453826,"1p36"
"118","HES2",54626,"1",6475293,6479979,"1p36.31"
"119","ESPN",83715,"1",6484847,6521004,"1p36.31"
"120","TNFRSF25",8718,"1",6521213,6526255,"1p36.2"
"121","PLEKHG5",57449,"1",6526151,6580121,"1p36.31"
"122","NOL9",79707,"1",6581406,6614658,"1p36.31"
"123","TAS1R1",80835,"1",6615337,6639817,"1p36.23"
"124","ZBTB48",3104,"1",6640050,6649340,"1p36.3"
"125","KLHL21",9903,"1",6650783,6662958,"1p36.31"
"126","PHF13",148479,"1",6673755,6684093,"1p36.31"
"127","THAP3",90326,"1",6684924,6695646,"1p36.31"
"128","DNAJC11",55735,"1",6694227,6761966,"1p36.31"
"129","CAMTA1",23261,"1",6845383,7829766,"1p36.31-p36.23"
"130","VAMP3",9341,"1",7831328,7841492,"1p36.23"
"131","PER3",8863,"1",7844488,7905240,"1p36.23"
"132","UTS2",10911,"1",7907671,7913551,"1p36"
"133","TNFRSF9",3604,"1",7975930,8003225,"1p36"
"134","PARK7",11315,"1",8021713,8045342,"1p36.23"
"135","ERRFI1",54206,"1",8071778,8086393,"1p36"
"136","LOC102724539",102724539,"1",8268731,8275268,"1p36.23"
"137","SLC45A1",50651,"1",8378144,8404227,"1p36.23"
"138","RERE",473,"1",8412463,8877699,"1p36.23"
"139","LOC102724552",102724552,"1",8484704,8495076,"1p36.23"
"140","ENO1",2023,"1",8921058,8939151,"1p36.2"
"141","MIR6728",102465436,"1",8926560,8926649,"-"
"142","ENO1-AS1",100505975,"1",8938893,8939943,"1p36.2"
"143","CA6",765,"1",9005892,9035148,"1p36.2"
"144","SLC2A7",155184,"1",9063358,9086404,"1p36.2"
"145","SLC2A5",6518,"1",9097004,9129887,"1p36.2"
"146","GPR157",80045,"1",9164475,9189229,"1p36.23"
"147","H6PD",9563,"1",9294862,9331394,"1p36"
"148","SPSB1",80176,"1",9352940,9429590,"1p36.22"
"149","LOC100506022",100506022,"1",9485152,9489055,"-"
"150","SLC25A33",84275,"1",9599527,9642831,"1p36.22"
"151","TMEM201",199953,"1",9648931,9674935,"1p36.22"
"152","PIK3CD",5293,"1",9711789,9789172,"1p36.2"
"153","PIK3CD-AS1",644997,"1",9712667,9714644,"1p36.22"
"154","PIK3CD-AS2",101929074,"1",9732483,9747632,"1p36.22"
